2025-11-28 04:08:00.375 | DEBUG    | ttnn:<module>:78 - Initial ttnn.CONFIG:
Config{cache_path=/home/masterjunmo/.cache/ttnn,model_cache_path=/home/masterjunmo/.cache/ttnn/models,tmp_dir=/tmp/ttnn,enable_model_cache=false,enable_fast_runtime_mode=true,throw_exception_on_fallback=false,enable_logging=false,enable_graph_report=false,enable_detailed_buffer_report=false,enable_detailed_tensor_report=false,enable_comparison_mode=false,comparison_mode_should_raise_exception=false,comparison_mode_pcc=0.9999,root_report_path=generated/ttnn/reports,report_name=std::nullopt,std::nullopt}
2025-11-28 04:08:11.408 | info     |           Metal | [Timer] compile_and_cache_program: 784 us (timer.hpp:21)
2025-11-28 04:08:11.408 | info     |           Metal | [Timer] transpose: 64 us (timer.hpp:21)
2025-11-28 04:08:11.408 | info     |           Metal | [Timer] matmul: 209 us (timer.hpp:21)
2025-11-28 04:08:11.408 | info     |           Metal | [Timer] transpose: 57 us (timer.hpp:21)
2025-11-28 04:08:11.408 | info     |           Metal | [Timer] add: 73 us (timer.hpp:21)
2025-11-28 04:08:11.409 | info     |           Metal | [Timer] compile_and_cache_program: 711 us (timer.hpp:21)
2025-11-28 04:08:11.409 | info     |           Metal | [Timer] transpose: 66 us (timer.hpp:21)
2025-11-28 04:08:11.409 | info     |           Metal | [Timer] matmul: 211 us (timer.hpp:21)
2025-11-28 04:08:11.410 | info     |           Metal | [Timer] transpose: 60 us (timer.hpp:21)
2025-11-28 04:08:11.410 | info     |           Metal | [Timer] add: 72 us (timer.hpp:21)
2025-11-28 04:08:11.410 | info     |           Metal | [Timer] compile_and_cache_program: 715 us (timer.hpp:21)
2025-11-28 04:08:11.411 | info     |           Metal | [Timer] transpose: 66 us (timer.hpp:21)
2025-11-28 04:08:11.411 | info     |           Metal | [Timer] matmul: 211 us (timer.hpp:21)
2025-11-28 04:08:11.411 | info     |           Metal | [Timer] transpose: 53 us (timer.hpp:21)
2025-11-28 04:08:11.411 | info     |           Metal | [Timer] add: 72 us (timer.hpp:21)
2025-11-28 04:08:11.412 | info     |           Metal | [Timer] compile_and_cache_program: 732 us (timer.hpp:21)
2025-11-28 04:08:11.412 | info     |           Metal | [Timer] transpose: 66 us (timer.hpp:21)
2025-11-28 04:08:11.412 | info     |           Metal | [Timer] matmul: 214 us (timer.hpp:21)
2025-11-28 04:08:11.412 | info     |           Metal | [Timer] transpose: 56 us (timer.hpp:21)
2025-11-28 04:08:11.412 | info     |           Metal | [Timer] add: 73 us (timer.hpp:21)
2025-11-28 04:08:11.413 | info     |           Metal | [Timer] compile_and_cache_program: 710 us (timer.hpp:21)
